D_IPERE;M_NUMERO;M_DEBUT;M_FEXP;M_AUTO;M_PERS;M_DOMRMR;M_DOMSDR;M_DOMSR;M_DOMSM;M_DOMXCOOR;M_DOMYCOOR;P_RANG;P_DEBUT;P_FEXP;P_SEXE;P_GRAGE;P_STATUT;P_PERMIS;P_DEPLAC;D_HREDE;D_GRHRE;D_MOTIF;D_MODE;D_MODE1;D_MODE2;D_MODE3;D_MODE4;D_MODE5;D_MODE6;D_MODE7;D_MODE8;D_MODE9;D_ORIRMR;D_ORISDR;D_ORISR;D_ORISM;D_ORIXCOOR;D_ORIYCOOR;D_DESRMR;D_DESSDR;D_DESSR;D_DESSM;D_DESTXCOOR;D_DESTYCOOR
1;1000204;1;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;1;24.4;1;14;4;1;1;930;3;5;MV;14;;;;;;;;;462;2466023;4620279.00;108;291500;5045500;462;2466023;4620279.00;108;291500;5045500
2;1000204;;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;;24.4;1;14;4;1;2;1030;3;5;MV;14;;;;;;;;;462;2466023;4620279.00;108;291500;5045500;462;2466023;4620280.00;108;291500;5045500
3;1000204;;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;;24.4;1;14;4;1;3;1200;4;5;MV;14;;;;;;;;;462;2466023;4620280.00;108;291500;5045500;462;2466023;4620270.00;108;292500;5045500
4;1000204;;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;;24.4;1;14;4;1;4;1300;4;11;MV;14;;;;;;;;;462;2466023;4620270.00;108;292500;5045500;462;2466023;4620279.00;108;291500;5045500
5;1000204;;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;;24.4;1;14;4;1;5;1400;4;1;MV;14;;;;;;;;;462;2466023;4620279.00;108;291500;5045500;462;2466023;4620279.00;108;291500;5045500
6;1000204;;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;;24.4;1;14;4;1;6;1500;4;11;MV;14;;;;;;;;;462;2466023;4620279.00;108;291500;5045500;462;2466023;4620279.00;108;291500;5045500
7;1000204;;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;;24.4;1;14;4;1;7;1900;6;6;MV;14;;;;;;;;;462;2466023;4620279.00;108;291500;5045500;462;2466023;4620279.00;108;291500;5046500
8;1000204;;30.1;1;1;462;2466023;4620279.00;108;291500;5045500;1;;24.4;1;14;4;1;8;2045;6;11;MV;14;;;;;;;;;462;2466023;4620279.00;108;291500;5046500;462;2466023;4620279.00;108;291500;5045500
9;1000236;1;18.74;1;2;462;2466023;4620264.01;108;294500;5046500;1;1;18.91;1;16;4;1;1;1020;3;5;AJ;11;;;;;;;;;462;2466023;4620264.01;108;294500;5046500;462;2466023;4620264.01;108;294500;5046500
10;1000236;;18.74;1;2;462;2466023;4620264.01;108;294500;5046500;1;;18.91;1;16;4;1;2;1145;3;11;AJ;11;;;;;;;;;462;2466023;4620264.01;108;294500;5046500;462;2466023;4620264.01;108;294500;5046500
11;1000236;;18.74;1;2;462;2466023;4620264.01;108;294500;5046500;2;1;18.91;1;16;4;2;1;950;3;8;AJ;11;;;;;;;;;462;2466023;4620264.01;108;294500;5046500;462;2466023;4620227.00;107;294500;5044500
12;1000236;;18.74;1;2;462;2466023;4620264.01;108;294500;5046500;2;;18.91;1;16;4;2;2;1530;5;11;AJ;11;;;;;;;;;462;2466023;4620227.00;107;294500;5044500;462;2466023;4620264.01;108;294500;5046500
13;1000258;1;26.61;1;1;462;2466023;4620267.00;108;293500;5044500;1;1;25.56;2;13;1;1;1;800;2;1;AC;1;;;;;;;;;462;2466023;4620267.00;108;293500;5044500;462;2466023;4620410.03;119;291500;5042500
14;1000258;;26.61;1;1;462;2466023;4620267.00;108;293500;5044500;1;;25.56;2;13;1;1;2;1500;4;11;AC;1;;;;;;;;;462;2466023;4620410.03;119;291500;5042500;462;2466023;4620267.00;108;293500;5044500
15;1000345;1;26.87;3;3;462;2466023;4620284.00;108;289500;5044500;1;1;24.59;2;11;1;1;1;715;2;1;AC;1;;;;;;;;;462;2466023;4620284.00;108;289500;5044500;462;2466023;4620153.00;106;299500;5044500
16;1000345;;26.87;3;3;462;2466023;4620284.00;108;289500;5044500;1;;24.59;2;11;1;1;2;1730;5;11;AC;1;;;;;;;;;462;2466023;4620153.00;106;299500;5044500;462;2466023;4620284.00;108;289500;5044500
17;1000345;;26.87;3;3;462;2466023;4620284.00;108;289500;5044500;3;1;28.22;1;5;3;1;1;730;2;4;TC;3;4;4;;;;;;;462;2466023;4620284.00;108;289500;5044500;462;2466023;4620127.01;105;295500;5040500
18;1000345;;26.87;3;3;462;2466023;4620284.00;108;289500;5044500;3;;28.22;1;5;3;1;2;1600;5;11;TC;4;4;3;;;;;;;462;2466023;4620127.01;105;295500;5040500;462;2466023;4620284.00;108;289500;5044500
19;1000368;1;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;1;1;25.77;1;16;4;1;1;745;2;6;AC;1;;;;;;;;;462;2466023;4620264.02;108;294500;5046500;462;2466023;4620272.00;108;292500;5047500
20;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;1;;25.77;1;16;4;1;2;900;3;11;AC;1;;;;;;;;;462;2466023;4620272.00;108;292500;5047500;462;2466023;4620264.02;108;294500;5046500
21;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;1;;25.77;1;16;4;1;3;1400;4;5;AC;1;;;;;;;;;462;2466023;4620264.02;108;294500;5046500;462;2466023;4620264.01;108;294500;5046500
22;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;1;;25.77;1;16;4;1;4;1430;4;11;AC;1;;;;;;;;;462;2466023;4620264.01;108;294500;5046500;462;2466023;4620264.02;108;294500;5046500
23;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;1;;25.77;1;16;4;1;5;1700;5;5;AC;1;;;;;;;;;462;2466023;4620264.02;108;294500;5046500;462;2466023;4620264.01;108;294500;5046500
24;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;1;;25.77;1;16;4;1;6;1725;5;11;AC;1;;;;;;;;;462;2466023;4620264.01;108;294500;5046500;462;2466023;4620264.02;108;294500;5046500
25;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;2;1;24.53;2;13;4;1;1;800;2;6;AP;2;;;;;;;;;462;2466023;4620264.02;108;294500;5046500;0;0;;999;0500;0500
26;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;3;1;29.92;2;5;3;2;1;930;3;4;AP;2;;;;;;;;;462;2466023;4620264.02;108;294500;5046500;462;2466023;4620051.00;101;299500;5041500
27;1000368;;25.53;2;3;462;2466023;4620264.02;108;294500;5046500;3;;29.92;2;5;3;2;2;1115;3;11;AP;2;;;;;;;;;462;2466023;4620051.00;101;299500;5041500;462;2466023;4620264.02;108;294500;5046500
28;1000434;1;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;1;1;13.86;1;14;4;1;1;1300;4;5;AC;1;;;;;;;;;462;2466023;4620277.00;108;292500;5047500;462;2465005;4620642.00;406;286500;5047500
29;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;1;;13.86;1;14;4;1;2;1500;4;5;AC;1;;;;;;;;;462;2465005;4620642.00;406;286500;5047500;462;2466023;4620280.00;108;291500;5044500
30;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;1;;13.86;1;14;4;1;3;1530;5;5;AC;1;;;;;;;;;462;2466023;4620280.00;108;291500;5044500;462;2466023;4620610.01;118;295500;5051500
31;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;1;;13.86;1;14;4;1;4;1550;5;5;AC;1;;;;;;;;;462;2466023;4620610.01;118;295500;5051500;462;2466023;4620277.00;108;292500;5047500
32;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;1;;13.86;1;14;4;1;5;1605;5;11;AC;1;;;;;;;;;462;2466023;4620277.00;108;292500;5047500;462;2466023;4620277.00;108;292500;5047500
33;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;1;;13.86;1;14;4;1;6;1720;5;9;AC;1;;;;;;;;;462;2466023;4620277.00;108;292500;5047500;462;2466023;4620279.00;108;291500;5046500
34;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;1;;13.86;1;14;4;1;7;1735;5;11;AC;1;;;;;;;;;462;2466023;4620279.00;108;291500;5046500;462;2466023;4620277.00;108;292500;5047500
35;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;2;1;15.64;2;11;1;1;1;830;2;1;TC;13;17;4;;;;;;;462;2466023;4620277.00;108;292500;5047500;462;2466023;4620055.01;102;300500;5040500
36;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;2;;15.64;2;11;1;1;2;1730;5;11;KR;4;17;13;;;;;;;462;2466023;4620055.01;102;300500;5040500;462;2466023;4620277.00;108;292500;5047500
37;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;3;1;18.1;1;3;3;5;1;905;3;4;MV;13;;;;;;;;;462;2466023;4620277.00;108;292500;5047500;462;2466023;4620277.00;108;292500;5047500
38;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;3;;18.1;1;3;3;5;2;1550;5;11;MV;13;;;;;;;;;462;2466023;4620277.00;108;292500;5047500;462;2466023;4620277.00;108;292500;5047500
39;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;3;;18.1;1;3;3;5;3;1720;5;6;TC;3;4;;;;;;;;462;2466023;4620277.00;108;292500;5047500;462;2466023;4620141.00;106;298500;5042500
40;1000434;;17.09;1;3;462;2466023;4620277.00;108;292500;5047500;3;;18.1;1;3;3;5;4;1930;6;11;TC;3;4;3;;;;;;;462;2466023;4620141.00;106;298500;5042500;462;2466023;4620277.00;108;292500;5047500
41;1000454;1;18.74;1;2;462;2466023;4620275.00;108;292500;5048500;1;1;20.43;2;15;4;1;1;715;2;12;AC;1;;;;;;;;;462;2466023;4620275.00;108;292500;5048500;462;2465005;4620639.00;406;289500;5046500
42;1000454;;18.74;1;2;462;2466023;4620275.00;108;292500;5048500;1;;20.43;2;15;4;1;2;2200;6;11;AC;1;;;;;;;;;462;2465005;4620639.00;406;289500;5046500;462;2466023;4620275.00;108;292500;5048500
43;1000454;;18.74;1;2;462;2466023;4620275.00;108;292500;5048500;2;1;18.91;1;16;4;1;1;800;2;6;AC;1;;;;;;;;;462;2466023;4620275.00;108;292500;5048500;462;2466023;4620264.02;108;293500;5045500
44;1000454;;18.74;1;2;462;2466023;4620275.00;108;292500;5048500;2;;18.91;1;16;4;1;2;1130;3;11;AC;1;;;;;;;;;462;2466023;4620264.02;108;293500;5045500;462;2466023;4620275.00;108;292500;5048500
45;1000524;1;27.45;1;1;462;2466023;4620272.00;108;293500;5047500;1;1;26.37;2;13;4;1;1;1100;3;11;AC;1;;;;;;;;;0;0;;999;0500;0500;462;2466023;4620272.00;108;293500;5047500
46;1000524;;27.45;1;1;462;2466023;4620272.00;108;293500;5047500;1;;26.37;2;13;4;1;2;1500;4;5;MV;14;;;;;;;;;462;2466023;4620272.00;108;293500;5047500;462;2466023;4620272.00;108;292500;5047500
47;1000524;;27.45;1;1;462;2466023;4620272.00;108;293500;5047500;1;;26.37;2;13;4;1;3;1530;5;11;MV;14;;;;;;;;;462;2466023;4620272.00;108;292500;5047500;462;2466023;4620272.00;108;293500;5047500
48;1000592;1;30.93;1;1;462;2466023;4620264.02;108;294500;5045500;1;1;23.34;2;14;4;1;1;1500;4;7;AC;1;;;;;;;;;462;2466023;4620264.02;108;294500;5045500;462;2466023;4620278.00;108;292500;5046500
49;1000592;;30.93;1;1;462;2466023;4620264.02;108;294500;5045500;1;;23.34;2;14;4;1;2;1600;5;5;AC;1;;;;;;;;;462;2466023;4620278.00;108;292500;5046500;462;2466023;4620256.00;109;295500;5046500
50;1000592;;30.93;1;1;462;2466023;4620264.02;108;294500;5045500;1;;23.34;2;14;4;1;3;1650;5;11;AC;1;;;;;;;;;462;2466023;4620256.00;109;295500;5046500;462;2466023;4620264.02;108;294500;5045500
51;1000793;1;26.24;1;3;462;2466023;4620265.00;108;293500;5045500;1;1;26.86;2;8;1;2;1;900;3;1;MV;14;;;;;;;;;462;2466023;4620265.00;108;293500;5045500;462;2466023;4620272.00;108;293500;5047500
52;1000793;;26.24;1;3;462;2466023;4620265.00;108;293500;5045500;1;;26.86;2;8;1;2;2;1400;4;11;MV;14;;;;;;;;;462;2466023;4620272.00;108;293500;5047500;462;2466023;4620265.00;108;293500;5045500
53;1000793;;26.24;1;3;462;2466023;4620265.00;108;293500;5045500;2;1;28.94;1;8;1;1;1;1400;4;1;AC;1;;;;;;;;;462;2466023;4620265.00;108;293500;5045500;462;2466023;4620281.00;108;290500;5045500
54;1000793;;26.24;1;3;462;2466023;4620265.00;108;293500;5045500;2;;28.94;1;8;1;1;2;2200;6;11;AC;1;;;;;;;;;462;2466023;4620281.00;108;290500;5045500;462;2466023;4620265.00;108;293500;5045500
55;1000922;1;26.1;1;4;462;2466023;4620278.00;108;291500;5046500;1;1;23.89;2;11;2;1;1;1700;5;2;MV;14;;;;;;;;;462;2466023;4620278.00;108;291500;5046500;462;2466023;4620279.00;108;291500;5046500
56;1000922;;26.1;1;4;462;2466023;4620278.00;108;291500;5046500;1;;23.89;2;11;2;1;2;2000;6;11;MV;14;;;;;;;;;462;2466023;4620279.00;108;291500;5046500;462;2466023;4620278.00;108;291500;5046500
57;1000922;;26.1;1;4;462;2466023;4620278.00;108;291500;5046500;2;1;26.17;1;11;1;1;1;830;2;1;AC;1;;;;;;;;;462;2466023;4620278.00;108;291500;5046500;462;2466023;4620268.03;108;292500;5043500
58;1000922;;26.1;1;4;462;2466023;4620278.00;108;291500;5046500;2;;26.17;1;11;1;1;2;1730;5;6;AC;1;;;;;;;;;462;2466023;4620268.03;108;292500;5043500;462;2466023;4620014.01;111;301500;5046500
59;1000922;;26.1;1;4;462;2466023;4620278.00;108;291500;5046500;2;;26.17;1;11;1;1;3;2030;6;11;AC;1;;;;;;;;;462;2466023;4620014.01;111;301500;5046500;462;2466023;4620278.00;108;291500;5046500
60;1000922;;26.1;1;4;462;2466023;4620278.00;108;291500;5046500;3;1;27.41;1;5;3;1;1;730;2;4;MV;13;;;;;;;;;462;2466023;4620278.00;108;291500;5046500;462;2466023;4620410.02;119;291500;5041500
61;1000922;;26.1;1;4;462;2466023;4620278.00;108;291500;5046500;3;;27.41;1;5;3;1;2;1830;6;6;MV;13;;;;;;;;;462;2466023;4620410.02;119;291500;5041500;462;2466023;4620061.00;101;299500;5040500
62;1000922;;26.1;1;4;462;2466023;4620278.00;108;291500;5046500;3;;27.41;1;5;3;1;3;2130;6;11;MV;13;;;;;;;;;462;2466023;4620061.00;101;299500;5040500;462;2466023;4620278.00;108;291500;5046500
63;1000922;;26.1;1;4;462;2466023;4620278.00;108;291500;5046500;4;1;26.79;1;4;3;1;1;1130;3;4;MV;13;;;;;;;;;462;2466023;4620278.00;108;291500;5046500;462;2466023;4620410.02;119;291500;5041500
64;1000922;;26.1;1;4;462;2466023;4620278.00;108;291500;5046500;4;;26.79;1;4;3;1;2;1830;6;6;MV;13;;;;;;;;;462;2466023;4620410.02;119;291500;5041500;462;2466023;4620061.00;101;299500;5040500
65;1000922;;26.1;1;4;462;2466023;4620278.00;108;291500;5046500;4;;26.79;1;4;3;1;3;2130;6;11;MV;13;;;;;;;;;462;2466023;4620061.00;101;299500;5040500;462;2466023;4620278.00;108;291500;5046500
66;1001066;1;27.72;1;3;462;2466023;4620264.01;108;293500;5046500;1;1;27.24;2;12;5;1;1;1850;6;6;AC;1;;;;;;;;;462;2466023;4620264.01;108;293500;5046500;462;2466023;4620264.02;108;294500;5045500
67;1001066;;27.72;1;3;462;2466023;4620264.01;108;293500;5046500;1;;27.24;2;12;5;1;2;2005;6;11;AC;1;;;;;;;;;462;2466023;4620264.02;108;294500;5045500;462;2466023;4620264.01;108;293500;5046500
68;1001066;;27.72;1;3;462;2466023;4620264.01;108;293500;5046500;2;1;32.49;2;5;3;1;1;1215;4;4;TC;3;4;;;;;;;;462;2466023;4620264.01;108;293500;5046500;462;2466023;4620126.00;105;295500;5040500
69;1001066;;27.72;1;3;462;2466023;4620264.01;108;293500;5046500;2;;32.49;2;5;3;1;2;1630;5;11;TC;4;3;;;;;;;;462;2466023;4620126.00;105;295500;5040500;462;2466023;4620264.01;108;293500;5046500
70;1001507;1;17.09;2;2;462;2466023;4620264.01;108;293500;5046500;1;1;16.42;2;13;4;1;1;1000;3;12;AC;1;;;;;;;;;462;2466023;4620264.01;108;293500;5046500;462;2466023;4620615.00;118;293500;5050500
71;1001507;;17.09;2;2;462;2466023;4620264.01;108;293500;5046500;1;;16.42;2;13;4;1;2;1600;5;11;AC;1;;;;;;;;;462;2466023;4620615.00;118;293500;5050500;462;2466023;4620264.01;108;293500;5046500
72;1001507;;17.09;2;2;462;2466023;4620264.01;108;293500;5046500;2;1;15.62;1;13;1;1;1;545;1;1;AC;1;;;;;;;;;462;2466023;4620264.01;108;293500;5046500;462;2466023;4620583.00;113;303500;5056500
73;1001507;;17.09;2;2;462;2466023;4620264.01;108;293500;5046500;2;;15.62;1;13;1;1;2;1630;5;11;AC;1;;;;;;;;;462;2466023;4620583.00;113;303500;5056500;462;2466023;4620264.01;108;293500;5046500
74;1001773;1;29.24;2;2;462;2466023;4620264.01;108;294500;5046500;1;1;30.76;2;7;1;1;1;715;2;9;AC;1;;;;;;;;;462;2466023;4620264.01;108;294500;5046500;462;2466023;4620264.01;108;293500;5046500
75;1001773;;29.24;2;2;462;2466023;4620264.01;108;294500;5046500;1;;30.76;2;7;1;1;2;720;2;1;AC;1;;;;;;;;;462;2466023;4620264.01;108;293500;5046500;462;2466023;4620080.00;103;298500;5038500
76;1001773;;29.24;2;2;462;2466023;4620264.01;108;294500;5046500;1;;30.76;2;7;1;1;3;815;2;3;AC;1;;;;;;;;;462;2466023;4620080.00;103;298500;5038500;462;2466023;4620080.00;103;298500;5038500
77;1001773;;29.24;2;2;462;2466023;4620264.01;108;294500;5046500;1;;30.76;2;7;1;1;4;1550;5;10;AC;1;;;;;;;;;462;2466023;4620080.00;103;298500;5038500;462;2466023;4620264.01;108;293500;5046500
78;1001773;;29.24;2;2;462;2466023;4620264.01;108;294500;5046500;1;;30.76;2;7;1;1;5;1640;5;11;AC;1;;;;;;;;;462;2466023;4620264.01;108;293500;5046500;462;2466023;4620264.01;108;294500;5046500
79;1001773;;29.24;2;2;462;2466023;4620264.01;108;294500;5046500;2;1;30.98;1;3;3;5;1;715;2;4;AP;2;;;;;;;;;462;2466023;4620264.01;108;294500;5046500;462;2466023;4620264.01;108;293500;5046500
80;1001773;;29.24;2;2;462;2466023;4620264.01;108;294500;5046500;2;;30.98;1;3;3;5;2;1640;5;11;AP;2;;;;;;;;;462;2466023;4620264.01;108;293500;5046500;462;2466023;4620264.01;108;294500;5046500
81;1002235;;25.4;1;5;462;2466023;4620264.01;108;293500;5046500;2;1;27.16;2;10;1;1;1;815;2;1;AC;1;;;;;;;;;462;2466023;4620264.01;108;293500;5046500;462;2466023;4620273.00;108;293500;5047500
82;1002235;;25.4;1;5;462;2466023;4620264.01;108;293500;5046500;2;;27.16;2;10;1;1;2;1630;5;11;AC;1;;;;;;;;;462;2466023;4620273.00;108;293500;5047500;462;2466023;4620264.01;108;293500;5046500
83;1002235;;25.4;1;5;462;2466023;4620264.01;108;293500;5046500;3;1;29.77;2;5;3;2;1;800;2;4;TC;3;4;4;;;;;;;462;2466023;4620264.01;108;293500;5046500;462;2466023;4620061.00;101;299500;5040500
84;1002235;;25.4;1;5;462;2466023;4620264.01;108;293500;5046500;3;;29.77;2;5;3;2;2;1800;5;11;TC;4;4;3;;;;;;;462;2466023;4620061.00;101;299500;5040500;462;2466023;4620264.01;108;293500;5046500
85;1002235;;25.4;1;5;462;2466023;4620264.01;108;293500;5046500;5;1;25.94;2;3;3;5;1;725;2;4;TC;3;4;;;;;;;;462;2466023;4620264.01;108;293500;5046500;462;2466023;4620171.00;106;297500;5042500
86;1002235;;25.4;1;5;462;2466023;4620264.01;108;293500;5046500;5;;25.94;2;3;3;5;2;1445;4;11;TC;4;3;;;;;;;;462;2466023;4620171.00;106;297500;5042500;462;2466023;4620264.01;108;293500;5046500
87;1002401;1;25.4;2;4;462;2466023;4620267.00;108;293500;5044500;1;1;26.07;1;4;3;1;1;735;2;4;TC;3;4;;;;;;;;462;2466023;4620267.00;108;293500;5044500;462;2466023;4620278.00;108;291500;5046500
88;1002401;;25.4;2;4;462;2466023;4620267.00;108;293500;5044500;1;;26.07;1;4;3;1;2;1530;5;11;TC;4;3;;;;;;;;462;2466023;4620278.00;108;291500;5046500;462;2466023;4620267.00;108;293500;5044500
89;1002401;;25.4;2;4;462;2466023;4620267.00;108;293500;5044500;2;1;27.16;2;10;1;2;1;1100;3;1;MV;14;;;;;;;;;462;2466023;4620267.00;108;293500;5044500;462;2466023;4620225.00;107;293500;5044500
90;1002401;;25.4;2;4;462;2466023;4620267.00;108;293500;5044500;2;;27.16;2;10;1;2;2;1300;4;11;MV;14;;;;;;;;;462;2466023;4620225.00;107;293500;5044500;462;2466023;4620267.00;108;293500;5044500
91;1002401;;25.4;2;4;462;2466023;4620267.00;108;293500;5044500;2;;27.16;2;10;1;2;3;1720;5;1;MV;14;;;;;;;;;462;2466023;4620267.00;108;293500;5044500;462;2466023;4620225.00;107;293500;5044500
92;1002401;;25.4;2;4;462;2466023;4620267.00;108;293500;5044500;2;;27.16;2;10;1;2;4;2200;6;11;MV;14;;;;;;;;;462;2466023;4620225.00;107;293500;5044500;462;2466023;4620267.00;108;293500;5044500
93;1002401;;25.4;2;4;462;2466023;4620267.00;108;293500;5044500;3;1;32.14;2;6;1;1;1;900;3;1;TC;4;4;;;;;;;;462;2466023;4620267.00;108;293500;5044500;462;2466023;4620062.00;101;299500;5040500
94;1002401;;25.4;2;4;462;2466023;4620267.00;108;293500;5044500;3;;32.14;2;6;1;1;2;1730;5;11;TC;4;4;;;;;;;;462;2466023;4620062.00;101;299500;5040500;462;2466023;4620267.00;108;293500;5044500
95;1002401;;25.4;2;4;462;2466023;4620267.00;108;293500;5044500;4;1;24.43;1;10;1;1;1;600;2;1;AC;1;;;;;;;;;462;2466023;4620267.00;108;293500;5044500;462;2466023;4620251.02;109;296500;5046500
96;1002401;;25.4;2;4;462;2466023;4620267.00;108;293500;5044500;4;;24.43;1;10;1;1;2;1200;4;1;AC;1;;;;;;;;;462;2466023;4620251.02;109;296500;5046500;462;2466007;4620570.00;115;299500;5055500
97;1002804;1;21.9;2;4;462;2466023;4620272.00;108;292500;5047500;1;1;22.14;2;9;1;1;1;755;2;9;MV;14;;;;;;;;;462;2466023;4620272.00;108;292500;5047500;462;2466023;4620271.00;108;292500;5046500
98;1002804;;21.9;2;4;462;2466023;4620272.00;108;292500;5047500;1;;22.14;2;9;1;1;2;805;2;11;MV;14;;;;;;;;;462;2466023;4620271.00;108;292500;5046500;462;2466023;4620272.00;108;292500;5047500
99;1002804;;21.9;2;4;462;2466023;4620272.00;108;292500;5047500;1;;22.14;2;9;1;1;3;815;2;1;AC;1;;;;;;;;;462;2466023;4620272.00;108;292500;5047500;462;2465005;4620629.00;407;291500;5049500
100;1002804;;21.9;2;4;462;2466023;4620272.00;108;292500;5047500;1;;22.14;2;9;1;1;4;1630;5;11;AC;1;;;;;;;;;462;2465005;4620629.00;407;291500;5049500;462;2466023;4620272.00;108;292500;5047500
101;1002804;;21.9;2;4;462;2466023;4620272.00;108;292500;5047500;1;;22.14;2;9;1;1;5;1950;6;2;MV;14;;;;;;;;;462;2466023;4620272.00;108;292500;5047500;462;2466023;4620271.00;108;292500;5046500
102;1002804;;21.9;2;4;462;2466023;4620272.00;108;292500;5047500;1;;22.14;2;9;1;1;6;2150;6;11;MV;14;;;;;;;;;462;2466023;4620271.00;108;292500;5046500;462;2466023;4620272.00;108;292500;5047500
103;1002804;;21.9;2;4;462;2466023;4620272.00;108;292500;5047500;2;1;24.15;1;8;1;1;1;700;2;9;AC;1;;;;;;;;;462;2466023;4620272.00;108;292500;5047500;462;2466023;4620111.00;105;293500;5038500
104;1002804;;21.9;2;4;462;2466023;4620272.00;108;292500;5047500;2;;24.15;1;8;1;1;2;730;2;1;AC;1;;;;;;;;;462;2466023;4620111.00;105;293500;5038500;462;2466023;4620366.00;121;295500;5042500
105;1002804;;21.9;2;4;462;2466023;4620272.00;108;292500;5047500;2;;24.15;1;8;1;1;3;1630;5;10;AC;1;;;;;;;;;462;2466023;4620366.00;121;295500;5042500;462;2466023;4620111.00;105;293500;5038500
106;1002804;;21.9;2;4;462;2466023;4620272.00;108;292500;5047500;2;;24.15;1;8;1;1;4;1650;5;11;AC;1;;;;;;;;;462;2466023;4620111.00;105;293500;5038500;462;2466023;4620272.00;108;292500;5047500
107;1002804;;21.9;2;4;462;2466023;4620272.00;108;292500;5047500;3;1;22.78;1;2;3;5;1;755;2;4;MV;14;;;;;;;;;462;2466023;4620272.00;108;292500;5047500;462;2466023;4620271.00;108;292500;5046500
108;1002804;;21.9;2;4;462;2466023;4620272.00;108;292500;5047500;3;;22.78;1;2;3;5;2;1535;5;11;AP;2;;;;;;;;;462;2466023;4620271.00;108;292500;5046500;462;2466023;4620272.00;108;292500;5047500
109;1003060;1;24.05;3;5;462;2466023;4620288.00;108;285500;5041500;1;1;22.01;2;11;5;1;1;915;3;9;AC;1;;;;;;;;;462;2466023;4620288.00;108;285500;5041500;462;2466023;4620418.00;119;290500;5041500
110;1003060;;24.05;3;5;462;2466023;4620288.00;108;285500;5041500;1;;22.01;2;11;5;1;2;930;3;8;AC;1;;;;;;;;;462;2466023;4620418.00;119;290500;5041500;462;2466023;4620197.00;110;298500;5048500
111;1003060;;24.05;3;5;462;2466023;4620288.00;108;285500;5041500;1;;22.01;2;11;5;1;3;1200;4;11;AC;1;;;;;;;;;462;2466023;4620197.00;110;298500;5048500;462;2466023;4620288.00;108;285500;5041500
112;1003060;;24.05;3;5;462;2466023;4620288.00;108;285500;5041500;4;1;23.22;2;4;3;2;1;915;3;9;AP;2;;;;;;;;;462;2466023;4620288.00;108;285500;5041500;462;2466023;4620418.00;119;290500;5041500
113;1003060;;24.05;3;5;462;2466023;4620288.00;108;285500;5041500;4;;23.22;2;4;3;2;2;930;3;8;AP;2;;;;;;;;;462;2466023;4620418.00;119;290500;5041500;462;2466023;4620197.00;110;298500;5048500
114;1003060;;24.05;3;5;462;2466023;4620288.00;108;285500;5041500;4;;23.22;2;4;3;2;3;1200;4;11;AP;2;;;;;;;;;462;2466023;4620197.00;110;298500;5048500;462;2466023;4620288.00;108;285500;5041500
115;1003060;;24.05;3;5;462;2466023;4620288.00;108;285500;5041500;5;1;22.01;2;11;3;1;1;915;3;4;KR;2;17;4;4;;;;;;462;2466023;4620288.00;108;285500;5041500;462;2466023;4620065.02;102;297500;5038500
116;1003060;;24.05;3;5;462;2466023;4620288.00;108;285500;5041500;5;;22.01;2;11;3;1;2;1730;5;11;TC;4;4;3;;;;;;;462;2466023;4620065.02;102;297500;5038500;462;2466023;4620288.00;108;285500;5041500
117;1003072;1;24.75;1;3;462;2466023;4620276.00;108;292500;5048500;1;1;20.07;1;14;4;1;1;1130;3;5;AC;1;;;;;;;;;462;2466023;4620276.00;108;292500;5048500;462;2466023;4620276.00;108;292500;5048500
118;1003072;;24.75;1;3;462;2466023;4620276.00;108;292500;5048500;1;;20.07;1;14;4;1;2;1150;3;11;AC;1;;;;;;;;;462;2466023;4620276.00;108;292500;5048500;462;2466023;4620276.00;108;292500;5048500
